setting,panel,method,row_mae_native,interpretation,method_id,row_mae_seed_sd,nMAE,nSAE,bias_native,analysis_scope,SAE_native
Historical-LOAO,CounselBench,Gated Context selected,0.4834425417697308,selected gates were constant within each fit,GatedContextResidualStack_Selected,0.027337870465758526,0.1208606354424327,0.05286400514829597,0.0982890605120672,retrospective exploratory study,0.21145602059318389
Historical-LOAO,CounselBench,NoRewards,0.4797355158405074,remove same-item Source score features,NoContextRewards,0.017186884859788865,0.11993387896012685,0.05955399190672058,0.13040598412509188,retrospective exploratory study,0.23821596762688232
Historical-LOAO,CounselBench,NoSimilarity,0.5203359524494767,remove text similarity features,NoSimilarity,0.0393909570791478,0.13008398811236918,0.07186409252604065,0.16209306113137426,retrospective exploratory study,0.2874563701041626
Historical-LOAO,CounselBench,Agent median,0.9773333333333333,simple same-item Source agent median,aux_agent_median,0.0,0.24433333333333332,0.16933333333333334,-7.401486830834377e-17,retrospective exploratory study,0.6773333333333333
Historical-LOAO,CounselBench,Shuffled support scores,0.4848265316971683,same-item pairing negative control,context::ShuffledSupportScores_NegativeControl,0.033175815949881074,0.12120663292429207,0.058674870535247316,0.09919520239311563,retrospective exploratory study,0.23469948214098926
Historical-LOAO,CounselBench,TextDM,0.5472523448361876,direct-model reference,legacy_dm_bge_m3_learned,0.04780375589997343,0.1368130862090469,0.0605066665778663,-0.2420266663114652,retrospective exploratory study,0.2420266663114652
Historical-LOAO,Rwanda,Gated Context selected,0.30328469454176393,selected gates were constant within each fit,GatedContextResidualStack_Selected,0.0062636187969872,0.07582117363544098,0.036957842831525055,0.1097964380934509,retrospective exploratory study,0.14783137132610022
Historical-LOAO,Rwanda,NoRewards,0.3929487363570756,remove same-item Source score features,NoContextRewards,0.0032706385626324074,0.0982371840892689,0.038430296798007045,0.08742098257003346,retrospective exploratory study,0.15372118719202818
Historical-LOAO,Rwanda,NoSimilarity,0.30985244143481255,remove text similarity features,NoSimilarity,0.0030768766804997417,0.07746311035870314,0.038058421197110476,0.11379912281820805,retrospective exploratory study,0.1522336847884419
Historical-LOAO,Rwanda,Agent median,0.2883578871721164,simple same-item Source agent median,aux_agent_median,0.0,0.0720894717930291,0.03054257994969457,0.09598454904779015,retrospective exploratory study,0.12217031979877828
Historical-LOAO,Rwanda,Shuffled support scores,0.39695291986963244,same-item pairing negative control,context::ShuffledSupportScores_NegativeControl,0.008668882368678847,0.09923822996740811,0.04205868397532545,0.11027648670248308,retrospective exploratory study,0.1682347359013018
Historical-LOAO,Rwanda,TextDM,0.3959440288133151,direct-model reference,legacy_dm_bge_m3_learned,0.0049977668665289274,0.09898600720332877,0.03457932361283503,0.05017917572846273,retrospective exploratory study,0.1383172944513401
