setting,analysis_scope,panel_id,family_id,task_id,target,source_rows,target_rows,source_responders,source_machine_candidates,source_human_candidates,scale_min,scale_max,range,higher_is_better,native_scoring_field,aggregation,cluster_unit,n_clusters,retained_row_unit,missing_rule,excluded_question_blocks
Formal-12,retrospective fixed-target evaluation,counselbench,counselbench,overall,llama3,300,100,3,2,1,1,5,4,True,overall_score,arithmetic mean over all five valid ratings for item x responder x overall,item_id,100,"item x responder, aggregated over native human raters",exclude missing/invalid ratings without imputation; the selected overall task has five valid numeric ratings per response,0
Formal-12,retrospective fixed-target evaluation,gbb_jme,gbb_jme,avg,us.anthropic.claude-3-7-sonnet-20250219-v1:0,240,60,4,4,0,1,10,9,True,avg,"mean(facts, articles, analysis) as released by GBB-JME",item_id,60,"item x responder, aggregated over native human raters",require all three official native dimensions and the released avg; no imputation,1
Formal-12,retrospective fixed-target evaluation,hanna,hanna,coherence,GPT-2 (tag),960,96,10,9,1,1,5,4,True,Coherence,arithmetic mean over three valid human ratings for item x responder x coherence,item_id,96,"item x responder, aggregated over native human raters",require the three released ratings; exclude incomplete story cells; no imputation,0
Formal-12,retrospective fixed-target evaluation,openmeva_roc,openmeva,overall,gpt,800,200,4,4,0,1,5,4,True,gen.<model>.score,arithmetic mean over five valid human ratings for each ROC story response,item_id,200,"item x responder, aggregated over native human raters",require the five released ratings; exclude incomplete response cells; no imputation,0
Formal-12,retrospective fixed-target evaluation,openmeva_wp,openmeva,overall,gpt,800,200,4,4,0,1,5,4,True,gen.<model>.score,arithmetic mean over five valid human ratings for each WP story response,item_id,200,"item x responder, aggregated over native human raters",require the five released ratings; exclude incomplete response cells; no imputation,0
Formal-12,retrospective fixed-target evaluation,psycsumeval,psycsumeval,main_findings,Claude Opus,333,111,3,3,0,0,2,2,True,main findings,released psychiatrist score; no rater averaging,item_id,111,"item x responder, aggregated over native human raters",exclude missing released scores; no imputation and no pseudo-averaging,4
Formal-12,retrospective fixed-target evaluation,rwanda,rwanda,alignment_with_medical_consensus,deepseek-r1,2024,506,4,3,1,1,5,4,True,evaluation_means_<responder>.alignmentWithMedicalConsensus,"released per-responder expert evaluator mean for alignmentWithMedicalConsensus, verified against the raw evaluator dictionaries",item_id,506,"item x responder, aggregated over native human raters",exclude rows with nonempty official disagreement dictionaries; no score imputation,18
Formal-12,retrospective fixed-target evaluation,summeval,summeval,consistency,M14,1500,100,15,15,0,1,5,4,True,expert_annotations.consistency,arithmetic mean over the three expert consistency ratings only,item_id,100,"item x responder, aggregated over native human raters",use valid expert ratings only; crowd/turker annotations are excluded and never pooled; no imputation,0
Formal-12,retrospective fixed-target evaluation,warmth_substance,warmth_substance,clinical_accuracy,deepseek,378,126,3,3,0,1,5,4,True,clinical_accuracy,arithmetic mean over the two valid physician ratings for item x responder x clinical_accuracy,scenario (six languages kept together),21,"item x responder, aggregated over native human raters",require the two released physician ratings; exclude incomplete responses; no imputation,0
Formal-12,retrospective fixed-target evaluation,wellbeing_advice_study1,wellbeing_advice,effectiveness,gpt-4o,150,50,3,1,2,1,7,6,True,scenario{1|2}_comment_<source>_effectiveness,arithmetic mean over every valid rater assigned to item x responder x effectiveness,item_id,50,"item x responder, aggregated over native human raters",require at least one released valid 1-7 rating; no imputation; all 200 Study 1 cells pass,0
Formal-12,retrospective fixed-target evaluation,wmt20_ende,wmt20_ende,psqm,Huoshan_Translate.832,12483,1387,9,6,3,0,6,6,True,score,arithmetic mean grouped by system + doc_id + seg_id over exactly three professional translators,document (metadata.doc),130,"item x responder, aggregated over native human raters","require nonempty source, target, and three valid 0-6 scores; drop incomplete item blocks; no imputation",31
Formal-12,retrospective fixed-target evaluation,wmt20_zhen,wmt20_zhen,psqm,Tencent_Translation.1249,17874,1986,9,7,2,0,6,6,True,score,arithmetic mean grouped by system + doc_id + seg_id over exactly three professional translators,document (metadata.doc),155,"item x responder, aggregated over native human raters","require nonempty source, target, and three valid 0-6 scores; drop incomplete item blocks; no imputation",14
